epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1862.35,1.9493,1.80612,1.30824,0.75609,0.64677,0.71516,0.33066,1.73997,1.54748,1.33585,0.000663366,0.000663366,0.000663366
2,3067.38,1.84207,1.3218,1.2787,0.66417,0.54811,0.58711,0.25603,1.90859,1.50993,1.43298,0.0013037,0.0013037,0.0013037
3,4683.56,1.76897,1.20791,1.25519,0.80688,0.69869,0.77852,0.39561,1.66398,1.23998,1.3054,0.00191763,0.00191763,0.00191763
4,6485.95,1.73229,1.15197,1.2459,0.76941,0.69575,0.77065,0.4066,1.6151,1.10681,1.30931,0.0018812,0.0018812,0.0018812
5,8502.94,1.70306,1.10375,1.23204,0.79553,0.66099,0.76219,0.43949,1.47647,0.99545,1.24408,0.0018416,0.0018416,0.0018416
